snoRNA,disease,label
SNORD34,Mouth neoplasms,0
SNORD26,Lung small cell carcinoma,0
SNORD116-24,Dysregulated immunity,0
SNORD10,Tuberculosis,0
SNORA36C,Head and neck squamous cell carcinoma,0
SNHG25,Neuroblastoma,0
SNORD116-15,Lung cancer,0
SNORD127,Lung adenocarcinoma,0
SNORD90,Ovarian carcinoma,0
SNORA30,Hepatic carcinoma,0
SNORD16,Alzheimer disease,0
SNORD98,Diffuse large B cell lymphoma,0
SNORD18C,West nile virus infection,0
SNORD61,Esophageal squamous cell cancer,0
SNORD59B,Cancer,0
RNU2-1,Chronic obstructive pulmonary disease,0
SNORD52,Cardiac hypertrophy,0
SNORD114-10,Malignant glioma,0
SNORD111,Gastric carcinoma,0
SNORD5,Prader-willi syndrome,0
SCARNA5,Early hepatocellular carcinoma,0
SNHG22,Liposarcoma,0
SNORA20,Hemangioma,0
SNORD67,Chronic myeloid leukemia,0
SNHG21,Ovarian clear cell carcinoma,0
RNVU1-7,Nasopharyngeal cancer,0
SNORA22,Renal cell carcinoma,0
SNORD116-3,Breast cancer,0
SNORA17A,Renal carcinoma,0
SNORD14E,Non small cell lung carcinoma,0
SNORD2,Uterine cervical neoplasm,0
SNORD97,Hepatocellular carcinoma,0
SNORD81,Colon carcinoma,0
SNORA41,Malignant glioma,0
SNORD98,T-cell acute lymphoblastic leukemia,0
SNHG7,Laryngeal cancer,0
SNORD37,Renal cell cancer,0
SNORD3D,Gallbladder cancer,0
SNORD125,Epithelial ovarian cancer,0
SNORD50B,Lung squamous cell carcinoma,0
SNORD69,Urinary bladder cancer,0
SNORD49B,Cerebral cavernous malformations,0
SNORA2B,Head and neck squamous cell carcinoma,0
SCARNA8,Parkinson disease,0
SNORD115-33,Hepatocellular carcinoma,0
SNORD114-12,Hypopharyngeal cancer,0
RNVU1-18,Tuberculosis,0
SCARNA7,Colorectal adenocarcinoma,0
SNORD27,Colon cancer,0
SNORA7B,Cervical cancer,0
SCARNA22,Prostate cancer,0
SNORA73A,Breast cancer,0
SNORA41,Pre-eclampsia,0
SNORD75,Colon carcinoma,0
SNORD114-13,Ovarian carcinoma,0
SNORD116-16,Nk/T cell lymphoma,0
SNORA73A,Hepatocellular carcinoma,0
SNORD115-21,Ovarian clear cell carcinoma,0
SNORD82,Epstein-barr virus infections,0
SNORD3B-1,Laryngeal squamous cell carcinoma,0
SNORA49,Gastric cancer,0
SNORA44,Early hepatocellular carcinoma,0
SNORD89,T-cell acute lymphoblastic leukemia,0
SNORD116-16,Renal cell carcinoma,0
SNORA54,Gallbladder cancer,0
SNORD26,Prostate carcinoma,0
SNORD114-23,Pancreatic cancer,0
SNORD3P3,Prader-willi syndrome,0
SNORD43,Hemangioma,0
SNORD115-15,Heart failure,0
SNORD83B,Pediatric neuroblastoma,0
SNORA61,Hepatic carcinoma,0
SNORD115-8,Psoriatic arthritis,0
SNORD99,Nk/T cell lymphoma,0
SNORD36B,Pancreatic cancer,0
SNORD115-33,Prostatic neoplasms,0
SNORD113-3,Esophagus adenocarcinoma,0
SNORA50C,Laryngeal cancer,0
SNHG9,Colorectal carcinoma,0
SNORA29,Uterine cervical neoplasm,0
SNHG1,Urinary bladder cancer,0
SNHG21,Herpes simplex keratitis,0
SNORD125,Renal carcinoma,0
SNORD41,Nk/T cell lymphoma,0
SNORD1A,Epithelial ovarian carcinoma,0
SNORD36C,Papillary thyroid carcinoma,0
SNHG16,Ischemia,0
SNORA55,Prader-willi syndrome,0
SNORD18A,Colorectal cancer,0
SNORD14B,Esophageal cancer,0
SNORA54,Esophageal cancer,0
SNORD23,Pre-eclampsia,0
SNORD32A,Retinoblastoma,0
SNORD48,Liver fibrosis,0
GAS5,Esophagus adenocarcinoma,0
SNORD102,Melanoma,0
SNORA5C,Osteosarcoma,0
SCARNA12,Adenocarcinoma,0
SNORA40,Colorectal cancer,0
SCARNA15,Leukemia lymphoblastic acute,0
SNORD48,Heart failure,0
SNHG3,Adenocarcinoma,0
SNORD52,Mouth neoplasms,0
RNU1-2,Stomach cancer,0
SNORD24,Papillary thyroid carcinoma,0
SNORD57,Lung cancer,0
SNORD82,Pancreatic adenocarcinoma,0
SNORD53,Rheumatoid arthritis,0
SNORA27,Ischemia,0
SNORD99,Rheumatoid arthritis,0
SCARNA3,Colorectal cancer,0
SNORA44,Osteosarcoma,0
SNORD113-3,Parkinson disease,0
SNORD45A,Liver cancer,0
SNORA17B,Lung small cell carcinoma,0
SNORD51,Uveal melanoma,0
SNORD116-24,Pancreatic ductal adenocarcinoma,0
SNORD1B,Renal cell cancer,0
SNORD125,Diffuse large B cell lymphoma,0
SNORD103A,Nonalcoholic fatty liver disease,0
SNORD18B,Uterine leiomyoma,0
SNORD52,Tongue squamous cell carcinoma,0
SNORD66,Liver cancer,0
SNORA60,Oral squamous cell carcinoma,0
SNORA44,Prostate cancer,0
RNU2-1,Hypopharyngeal cancer,0
SNORD3B-1,Rheumatoid arthritis,0
SNORA50C,Nasopharyngeal cancer,0
SNHG11,Leukemia lymphoblastic acute,0
SNORD37,Lung carcinoma,0
SNORD126,Breast neoplasms,0
SNORD113-9,Thyroid cancer,0
SNORA37,Colon carcinoma,0
SNORD116-24,Lung squamous cell carcinoma,0
SNORD59A,Adenocarcinoma,0
SNORD114-13,Esophageal squamous cell carcinoma,0
SNORD114-26,Chronic myeloid leukemia,0
SNORA72,Osteoarthritis,0
SCARNA10,Neuroblastoma,0
SNORD77,Colorectal cancer,0
SNORD77,Colorectal carcinoma,0
SNORD123,Papillary thyroid carcinoma,0
SNORD7,Early hepatocellular carcinoma,0
SNORD80,Malignant glioma,0
SNORA13,Myasthenia gravis,0
SNORD116-25,Gallbladder cancer,0
SNORA70F,Acute promyelocytic leukemia,0
SNORD116-24,Gallbladder cancer,0
SNORA74A,Malignant glioma,0
SNORD114-20,Cardiac hypertrophy,0
SNORD104,Triple negative breast cancer,0
SNORD15B,Ovarian clear cell carcinoma,0
SNORD21,Muscle-invasive bladder cancer,0
SNORA53,Pancreatic ductal adenocarcinoma,0
SNORD116-29,Osteosarcoma,0
TERC,Hepatic carcinoma,0
SNORD112,Pre-eclampsia,0
SNORA3A,Alzheimer disease,0
SNORD3D,Colon and rectal adenocarcinoma,0
SNORD33,Clear cell renal cell carcinoma,0
SNORD18A,Cancer,0
SNORD45A,T-cell acute lymphoblastic leukemia,0
SNORD114-12,Prostate cancer,0
SNORD14B,Breast cancer,0
SNORD115-16,Pneumonia,0
SNORA81,Acute promyelocytic leukemia,0
SNORD97,Epstein-barr virus infections,0
SNORD113-6,Lung adenocarcinoma,0
SNORD113-1,Pancreatic ductal adenocarcinoma,0
RNU1-2,Urinary bladder cancer,0
SNORD96A,Nasopharyngeal cancer,0
SNORD19B,Non small cell lung carcinoma,0
SNORD15A,Epstein-barr virus infections,0
SNORA57,Pneumonia,0
SNORA26,Hypopharyngeal cancer,0
SNHG21,Primary breast cancer,0
SNORD60,Osteoarthritis,0
SNORD11B,Uterine cervical neoplasm,0
SNHG17,Colon cancer,0
SCARNA8,Tongue squamous cell carcinoma,0
SNORD115-8,Head and neck squamous cell carcinoma,0
SCARNA2,Bladder cancer,0
SNORD26,Rheumatoid arthritis,0
SNORD22,Tongue squamous cell carcinoma,0
SNORD81,Alzheimer disease,0
SNORA17B,Lung carcinoma,0
SNORD35A,Breast cancer,0
SNHG25,Dysregulated immunity,0
SNHG4,Colon carcinoma,0
SNHG3,Renal cell cancer,0
SNORD11B,Tongue squamous cell carcinoma,0
SNORD89,Tuberculosis,0
SNORD94,Primary breast cancer,0
SNORA74A,Lung squamous cell carcinoma,0
SNORD61,Osteoarthritis,0
SNORA7B,Nasopharyngeal cancer,0
SNORD124,Esophagus adenocarcinoma,0
SNORA61,Bladder cancer,0
SNHG12,Cholangiocarcinoma,0
SNORA70,Stomach cancer,0
SNORA66,Nasopharyngeal cancer,0
SNORD91B,Liver fibrosis,0
SNORA70F,Myasthenia gravis,0
SNORA36C,Liver cirrhosis,0
SNORD3P3,Non small cell lung carcinoma,0
SNORA63,B-cell lymphoma,0
SNORD116-15,Liver cirrhosis,0
SNORD67,Lung small cell carcinoma,0
SNORD46,Pancreatic cancer,0
SNORD51,Parkinson disease,0
SNORD123,Liver fibrosis,0
SNORD36C,Primary breast cancer,0
SNORD2,Diffuse large B cell lymphoma,0
SNORD63,Dysregulated immunity,0
SNORD3B-1,Leukemia lymphoblastic acute,0
SNORA72,Esophageal cancer,0
SNORD114-2,Lung cancer,0
SNORD113-7,Liver cirrhosis,0
SNORA50C,Renal cell carcinoma,0
SNORD24,Alzheimer disease,0
SNHG1,Triple negative breast cancer,0
SNORD88C,Mouth neoplasms,0
GAS5,Laryngeal cancer,0
SNORA5A,Lung carcinoma,0
SNORD26,Lung cancer,0
SNORD58C,T-cell acute lymphoblastic leukemia,0
SNORD12B,Gastric carcinoma,0
SNORA11E,Cancer,0
SNORD10,Esophageal cancer,0
SNORD36B,Gallbladder cancer,0
SNORA73A,Head and neck squamous cell carcinoma,0
SNORD41,Urinary bladder cancer,0
SNORD115-42,Prostate cancer,0
RNU2-1,Cholangiocarcinoma,0
SNORD121B,Osteoarthritis,0
SNORD93,Acute promyelocytic leukemia,0
SNORD33,Uveal melanoma,0
SNORD63,Ovarian cancer,0
SNORA70E,Acute promyelocytic leukemia,0
SNORD18C,Heart failure,0
SNORD12B,Retinoblastoma,0
SNORA73A,Breast neoplasms,0
SNORA48,Urinary bladder cancer,0
SNORD80,Breast neoplasms,0
SNORD114-22,Dysregulated immunity,0
SNORD59A,Colon carcinoma,0
SNORA17B,Primary breast cancer,0
SNORA55,Esophagus adenocarcinoma,0
SNORA37,Uterine leiomyoma,0
SNORD36B,Muscle-invasive bladder cancer,0
SNORD114-3,Lung squamous cell carcinoma,0
RNU1-4,Nasopharyngeal cancer,0
SNORD112,Oral squamous cell carcinoma,0
SNORD14D,Early hepatocellular carcinoma,0
SNORD3B-1,Colorectal cancer,0
SNORD80,Cervical cancer,0
SNORD115-42,Epithelial ovarian cancer,0
SCARNA5,B-cell lymphoma,0
SNORD64,Non small cell lung carcinoma,0
SNORA44,Nasopharyngeal cancer,0
SNORA7B,Heart failure,0
SNORD104,Renal carcinoma,0
SNORD53,Hepatic carcinoma,0
SNORA14A,Diffuse large B cell lymphoma,0
SNHG22,Epithelial ovarian cancer,0
SNORD125,Hepatocellular carcinoma,0
SNORA50C,Mouth neoplasms,0
SNORA35,Adenocarcinoma,0
SNORD58A,Glioma,0
SNORD126,Dysregulated immunity,0
SNORA71A,Wilms tumor,0
SNORD99,Gallbladder cancer,0
SNORA74A,Liver fibrosis,0
SNORD115-32,Esophageal squamous cell cancer,0
SNORD44,Prostate cancer,0
SNORD89,Pancreatic ductal adenocarcinoma,0
SNORD114-20,T-cell acute lymphoblastic leukemia,0
RNU7-1,Prostatic neoplasms,0
SNORD38B,Renal cell cancer,0
SNORD12B,Lung adenocarcinoma,0
SNORA73A,Ovarian clear cell carcinoma,0
SNORD105,Renal cell carcinoma,0
SNORD115-33,Renal carcinoma,0
SNORD69,Head and neck squamous cell carcinoma,0
SNORD119,Primary breast cancer,0
SNORD63,Heart failure,0
SNORA81,Cardiac hypertrophy,0
SNORD114-13,Colon carcinoma,0
SNORD87,Ovarian carcinoma,0
SNORD54,Retinoblastoma,0
SNORD87,Hemangioma,0
SNORA28,Liver fibrosis,0
SCARNA12,Lung small cell carcinoma,0
SNORD115-21,Wilms tumor,0
SNORD88B,Acute promyelocytic leukemia,0
SNORD46,Colon carcinoma,0
SNORD1C,Breast cancer,0
SNORD78,Pancreatic cancer,0
SNORD34,Colorectal adenocarcinoma,0
SNORD15A,Tongue squamous cell carcinoma,0
SNORA29,Meningioma,0
SNORA73A,Liver fibrosis,0
SNHG11,T-cell acute lymphoblastic leukemia,0
SNORD90,Meningioma,0
SNORA37,Hepatic carcinoma,0
SNORA7B,Pancreatic ductal adenocarcinoma,0
SNORD3B-1,Prostate carcinoma,0
SNORA60,Prostate cancer,0
SNORD67,Uveal melanoma,0
SNORD87,Mouth neoplasms,0
SNORD45B,Renal cell cancer,0
GAS5,Papillary thyroid cancer,0
SNORD117,Urinary bladder cancer,0
SNORD113-1,Liver cirrhosis,0
SNORD105,Alzheimer disease,0
SNORA36C,Osteosarcoma,0
SNORD88C,Thyroid cancer,0
SNORD50B,Melanoma,0
SNORD114-13,Hepatic carcinoma,0
SCARNA9,Prostate carcinoma,0
SCARNA18,Uterine cervical neoplasm,0
SNORD97,Clear cell renal cell carcinoma,0
SNORA60,Stomach cancer,0
SNORD14A,Lung small cell carcinoma,0
SNORA70,Hypopharyngeal cancer,0
SCARNA4,Neuroblastoma,0
SNORD117,Lymphosarcoma,0
SNORD43,Esophageal squamous cell cancer,0
SNORD115-1,Stomach cancer,0
SNORD102,Colon and rectal adenocarcinoma,0
SNORA55,Liver cancer,0
SNORD116-15,Malignant glioma,0
SNORD113-9,Liposarcoma,0
SNORD57,Ovarian carcinoma,0
SNORD2,Stomach cancer,0
SNORA6,Adenocarcinoma,0
SNHG5,Nk/T cell lymphoma,0
SNORA80E,Renal cell cancer,0
SNORD121A,Meningioma,0
SNORD112,Lung carcinoma,0
SCARNA16,Clear cell renal cell carcinoma,0
SNORD113-3,Laryngeal cancer,0
SNORD111,Uterine leiomyoma,0
SNORD45B,Acute promyelocytic leukemia,0
SNORD23,Diffuse large B cell lymphoma,0
SNORA33,Ovarian carcinoma,0
SNORA71C,Lung carcinoma,0
SCARNA11,Glioblastoma,0
SNORD117,Pancreatic cancer,0
SNORD37,Laryngeal cancer,0
SCARNA7,Triple negative breast cancer,0
SNORA65,Uterine cervical neoplasm,0
SNORD19B,Lung small cell carcinoma,0
SNORD117,Colon carcinoma,0
SNORA64,Lymphosarcoma,0
GAS5,Gastric carcinoma,0
SNORD116-2,West nile virus infection,0
SNORD18B,Triple negative breast cancer,0
SNORD12C,Esophagus adenocarcinoma,0
SNORD24,Breast cancer,0
SNORA70E,Uveal melanoma,0
SNORD70,Clear cell renal cell carcinoma,0
SNORD113-8,Lymphosarcoma,0
SNORD104,Adenocarcinoma,0
SNORD114-29,Laryngeal squamous cell carcinoma,0
SNHG14,Parkinson disease,0
SNORD116@,Esophageal squamous cell cancer,0
SNORD114-1,Nasopharyngeal carcinoma,0
SNORD58B,Ovarian carcinoma,0
SNORD114-21,Esophageal squamous cell carcinoma,0
SNORD113-5,Lung small cell carcinoma,0
SNORD103B,Atherosclerosis,0
SNORD127,Ovarian cancer,0
SNORD116@,Ovarian cancer,0
SNORD114-1,Epstein-barr virus infections,0
SCARNA8,Uterine cervical neoplasm,0
SNORD82,Pneumonia,0
SNORD6,Herpes simplex keratitis,0
SNORA20,Laryngeal cancer,0
SCARNA16,Colon carcinoma,0
SNORD115-33,Lymphoma,0
SNORA74A,Psoriatic arthritis,0
SCARNA22,Muscle-invasive bladder cancer,0
SCARNA9,Epithelial ovarian carcinoma,0
SNORD35B,Neuroblastoma,0
SNORA8,Prostate carcinoma,0
SCARNA12,Nasopharyngeal carcinoma,0
SNHG14,Epithelial ovarian cancer,0
SNORD15A,Pancreatic adenocarcinoma,0
SNORD53,Ovarian carcinoma,0
SNORD26,Pancreatic ductal adenocarcinoma,0
SNORA14B,Ovarian cancer,0
SNORA54,West nile virus infection,0
RNU7-1,Retinoblastoma,0
SNORD117,Meningioma,0
SNORA16A,Acute promyelocytic leukemia,0
SNORD127,Cholangiocarcinoma,0
SNORD45A,Multiple myeloma,0
SNORD124,Liver cirrhosis,0
SCARNA12,Colorectal carcinoma,0
SNORA71A,Non small cell lung cancer,0
SNORD38A,Acute promyelocytic leukemia,0
SNORD10,Colon carcinoma,0
SNORD14D,Nonalcoholic fatty liver disease,0
SNORD113-1,West nile virus infection,0
SNORA29,Cancer,0
SNORA68,Hepatocellular carcinoma,0
SNORA17B,Hemangioma,0
SNORD114-29,Colorectal cancer,0
SNORD113-4,Liver cancer,0
SNORD96A,Osteosarcoma,0
SNORA65,Head and neck squamous cell carcinoma,0
SNORA50A,Uterine leiomyoma,0
SNORD61,T-cell acute lymphoblastic leukemia,0
SNORD114-20,Liver cirrhosis,0
SNORD20,Nk/T cell lymphoma,0
SNORD88C,Malignant glioma,0
SNORA74A,Chronic obstructive pulmonary disease,0
SNORD111,Hepatocellular carcinoma,0
SNORD101,Lung squamous cell carcinoma,0
SNORA60,Ovarian cancer,0
SNORD118,Hepatocellular carcinoma,0
SNORD115-1,Ovarian cancer,0
SNORD6,Thyroid cancer,0
SNORD104,Nonalcoholic fatty liver disease,0
SNORA31,Chronic obstructive pulmonary disease,0
SNORA37,Pneumonia,0
SNORD27,Prostatic neoplasms,0
SNORA7B,Liver cirrhosis,0
SNORD113-9,Breast neoplasms,0
SNORD78,Bladder cancer,0
SNORD59A,Colorectal cancer,0
SNORA63,Myasthenia gravis,0
SNORD98,Lymphoma,0
SNORD110,Herpes simplex keratitis,0
SNORD65,T-cell acute lymphoblastic leukemia,0
SNORA7B,Lymphoma,0
SNHG8,Clear cell renal cell carcinoma,0
SNORD88A,Hepatic carcinoma,0
SNORA20,Ovarian clear cell carcinoma,0
SNORD118,Tuberculosis,0
SNORD48,Lung adenocarcinoma,0
SNORA66,Muscle-invasive bladder cancer,0
SNORD113-4,Laryngeal squamous cell carcinoma,0
SNORD99,Herpes simplex keratitis,0
SNORD70,Ovarian clear cell carcinoma,0
SNORD56,Gallbladder cancer,0
SNORD114-14,Chronic obstructive pulmonary disease,0
SCARNA8,Laryngeal cancer,0
SNORD18B,Papillary thyroid carcinoma,0
TERC,Nasopharyngeal cancer,0
SNORA25,Primary breast cancer,0
SCARNA14,Laryngeal cancer,0
SNORD19,Prostate carcinoma,0
SNORD49B,Lung squamous cell carcinoma,0
SNORA13,Lung carcinoma,0
SNORD115-13,Heart failure,0
SNORD113-7,Pancreatic cancer,0
SNORA61,Gastric carcinoma,0
SNORA68,Chronic myeloid leukemia,0
SNORA64,Mouth neoplasms,0
SNORD114-3,Prostate cancer,0
SNORD113-7,Nasopharyngeal carcinoma,0
SNORD55,Lung cancer,0
SNHG5,Oral squamous cell carcinoma,0
SNORA35,Stomach cancer,0
SNORD113-6,Acute myeloid leukemia,0
SNORD24,Tuberculosis,0
SNORD105,Oral squamous cell carcinoma,0
SNORD52,Cholangiocarcinoma,0
SNORA2B,Esophagus adenocarcinoma,0
SNORD114-15,Stomach cancer,0
SNORA71B,Osteoarthritis,0
SNORD62A,Papillary thyroid cancer,0
SNORD18C,Epithelial ovarian cancer,0
SNORD12C,Lung small cell carcinoma,0
SNORD114-28,Stomach cancer,0
SNORA5A,Prostate cancer,0
SNORD116-20,Hepatic carcinoma,0
SNORD42A,Meningioma,0
SNORA11E,Colorectal cancer,0
SNORD93,Malignant glioma,0
SNORA23,Prostate cancer,0
SNORA46,Rheumatoid arthritis,0
SNORD121B,Colorectal carcinoma,0
SNORA17B,Diffuse large B cell lymphoma,0
SNORD113-7,Malignant glioma,0
SNORA21,Prostate carcinoma,0
SNORA11E,Epithelial ovarian carcinoma,0
SCARNA13,Epstein-barr virus infections,0
SNORA54,Ovarian carcinoma,0
SNORD46,Ovarian cancer,0
SNORA15,Melanoma,0
SNORD3B-1,Hypopharyngeal cancer,0
SNORD14E,Esophageal cancer,0
SNORD59B,Lung adenocarcinoma,0
SNORD116-29,Liver fibrosis,0
SNORA63,Colon and rectal adenocarcinoma,0
SNORA26,Liposarcoma,0
SNORD113-3,Breast cancer,0
SNORA14A,Breast neoplasms,0
SNORA71A,Lymphosarcoma,0
SNHG22,Cerebral cavernous malformations,0
SNORD7,Lung carcinoma,0
SNORD59B,Esophageal squamous cell cancer,0
SNORD10,Acute promyelocytic leukemia,0
SNORA28,Glioblastoma,0
SNORD18C,T-cell acute lymphoblastic leukemia,0
SNORD1A,Meningioma,0
SNORD88B,Chronic myeloid leukemia,0
SNORA73A,Hemangioma,0
SNORD115-21,Colorectal cancer,0
SCARNA15,Atherosclerosis,0
SNORD36B,Papillary thyroid cancer,0
SNORD10,Lymphoma,0
SCARNA9,Prader-willi syndrome,0
SNORD114-22,Colorectal carcinoma,0
SNORD6,Malignant glioma,0
SNORD113-7,Prader-willi syndrome,0
SNORD114-26,Esophagus adenocarcinoma,0
SNORD77,Lung squamous cell carcinoma,0
SNORD60,Psoriatic arthritis,0
SCARNA17,Ovarian clear cell carcinoma,0
SNORD67,Ischemia,0
SNORD81,Pancreatic adenocarcinoma,0
SNORD19,Ovarian cancer,0
SNORA14B,Liver cancer,0
SNORA80E,Cancer,0
SNORD113-8,Epithelial ovarian cancer,0
SNORA22,Uterine cervical neoplasm,0
SNORD114-20,Hypopharyngeal cancer,0
SNORA23,Pre-eclampsia,0
SNORA14A,B-cell lymphoma,0
SNORD114-20,Tuberculosis,0
SNORA80E,Esophageal cancer,0
SNORA69,Gallbladder cancer,0
SNORD30,Acute promyelocytic leukemia,0
SNORD38B,Chronic obstructive pulmonary disease,0
SNORD114-29,Papillary thyroid cancer,0
SNORA24,Uveal melanoma,0
SNORD114-20,Pre-eclampsia,0
SNORA60,Glioma,0
SNORA71A,Nk/T cell lymphoma,0
SNORD114-14,Malignant glioma,0
SNORD38B,West nile virus infection,0
SNORD20,Primary breast cancer,0
SCARNA15,Uveal melanoma,0
SNORD114-21,Neuroblastoma,0
SNORA9,Uveal melanoma,0
SNORD58A,Cerebral cavernous malformations,0
SNORA23,Retinoblastoma,0
SCARNA18,B-cell lymphoma,0
SNORD114-5,Lung carcinoma,0
SNORD5,Tongue squamous cell carcinoma,0
SNHG21,Osteosarcoma,0
SNORD117,Ischemia,0
SNHG3,Thyroid cancer,0
SNHG18,Esophageal squamous cell carcinoma,0
SNORD72,Laryngeal squamous cell carcinoma,0
SNORD112,Cardiac hypertrophy,0
SNORD22,Muscle-invasive bladder cancer,0
SCARNA18,Oral squamous cell carcinoma,0
SNORD13,Pancreatic ductal adenocarcinoma,0
SNORD44,Nasopharyngeal carcinoma,0
SNORD90,Lymphosarcoma,0
SCARNA4,Leukemia lymphoblastic acute,0
SNORD87,Pediatric neuroblastoma,0
SNORD32A,Thyroid cancer,0
SNORD113-8,Colon and rectal adenocarcinoma,0
SNORD18B,Melanoma,0
SNORD116@,Cardiac hypertrophy,0
SNORA70B,Nasopharyngeal carcinoma,0
SNORD22,Meningioma,0
SNORD18C,Uveal melanoma,0
SNORD114-10,Diffuse large B cell lymphoma,0
SNORD74,Tuberculosis,0
MEG8,West nile virus infection,0
SNORA25,Colorectal carcinoma,0
SNORA56,Thyroid cancer,0
SNORA50A,Retinoblastoma,0
SNORA80E,Retinoblastoma,0
SNORD36C,Lung cancer,0
SNORD70,Glioblastoma,0
SNORD14D,Prostate carcinoma,0
SNORD114-11,Glioma,0
SNORA80E,Colorectal adenocarcinoma,0
SNORA24,Lymphoma,0
SNORD92,Breast cancer,0
SNORD114-23,Ischemia,0
SNORD64,Meningioma,0
SNORD47,Papillary thyroid carcinoma,0
SNORA71A,Adenocarcinoma,0
SNORD114-3,Melanoma,0
SNHG20,Cerebral cavernous malformations,0
SNORA70F,Nasopharyngeal carcinoma,0
SNORD34,Gastric carcinoma,0
SNORD119,Bladder cancer,0
SNORD113-5,Diffuse large B cell lymphoma,0
SNHG22,Ovarian cancer,0
SNORD54,Renal cell cancer,0
SNORD59A,Parkinson disease,0
SNORA71D,Head and neck squamous cell carcinoma,0
SNORA4,Myasthenia gravis,0
SNORA52,Melanoma,0
SNORA7B,Rheumatoid arthritis,0
SNORD20,Osteoarthritis,0
SNORD69,Bladder cancer,0
RNU1-2,Lung small cell carcinoma,0
SNORA33,Nk/T cell lymphoma,0
SNORD27,Uterine cervical neoplasm,0
SNORA71D,Wilms tumor,0
SNORD79,Ovarian carcinoma,0
SNORD46,Uterine leiomyoma,0
SNORD101,Malignant glioma,0
SNORA33,Osteoarthritis,0
SCARNA18,Dysregulated immunity,0
SNORD116-1,Cervical cancer,0
SNORD50A,Cholangiocarcinoma,0
SNORD14B,Liver cirrhosis,0
SNORD25,Liver cancer,0
SNORA73A,Uveal melanoma,0
SNHG17,T-cell acute lymphoblastic leukemia,0
SNORA33,Ovarian cancer,0
SNORD55,Melanoma,0
SNORD113-8,Adenocarcinoma,0
SNORA57,Lung small cell carcinoma,0
SNORD94,Parkinson disease,0
SNORA68,Cervical cancer,0
SNORD119,Pancreatic cancer,0
SNORD115-32,Pneumonia,0
SNORD101,Prader-willi syndrome,0
SNORD41,Colorectal adenocarcinoma,0
SNORD114-5,Meningioma,0
SCARNA22,Tuberculosis,0
SNORD59A,Laryngeal squamous cell carcinoma,0
SNORD115-21,Head and neck squamous cell carcinoma,0
SNHG19,Tuberculosis,0
SCARNA4,Laryngeal cancer,0
SNORD113-5,Breast cancer,0
SNORD115-31,Colon cancer,0
SNORD70,Hemangioma,0
SNORD125,Primary breast cancer,0
SNHG18,B-cell lymphoma,0
SNORD92,Urinary bladder cancer,0
MEG8,Prostatic neoplasms,0
SNHG12,Mouth neoplasms,0
GAS5,Cholangiocarcinoma,0
SNORA49,Liver cirrhosis,0
SNORD60,Primary breast cancer,0
SNORD14B,Atherosclerosis,0
SNORA64,Pancreatic adenocarcinoma,0
SNHG25,Mouth neoplasms,0
SNORD116-24,Pediatric neuroblastoma,0
SNORA18,Colon carcinoma,0
SNORD59B,Atherosclerosis,0
SNORD112,Bladder cancer,0
SNORD114-25,Laryngeal squamous cell carcinoma,0
SNORD116@,Papillary thyroid cancer,0
SNORD3P3,B-cell lymphoma,0
MEG8,Heart failure,0
SNORA36A,Tuberculosis,0
SNORA50C,Pancreatic cancer,0
SNORD102,Retinoblastoma,0
SCARNA3,Esophagus adenocarcinoma,0
SNORD88A,Head and neck squamous cell carcinoma,0
SNORD113-5,Nasopharyngeal cancer,0
SNORA11E,Hepatic carcinoma,0
SNHG16,West nile virus infection,0
SNHG11,Nasopharyngeal cancer,0
SNORD12,Cancer,0
GAS5,Cervical cancer,0
SNORD24,Neuroblastoma,0
SNORD114-21,Adenocarcinoma,0
SNORD1B,Ischemia,0
SNORD50B,Osteosarcoma,0
SNORD90,Lung small cell carcinoma,0
SNHG20,Papillary thyroid carcinoma,0
SNORD33,Multiple myeloma,0
SNORA21,B-cell lymphoma,0
SCARNA18,Muscle-invasive bladder cancer,0
SNORD88A,Uterine leiomyoma,0
SNORA63,Colorectal cancer,0
SNORD37,Acute promyelocytic leukemia,0
SNORD113-4,Esophageal squamous cell carcinoma,0
SNORA74B,Triple negative breast cancer,0
SNORD101,Triple negative breast cancer,0
SNORD116-25,Tuberculosis,0
SNORD104,Pediatric neuroblastoma,0
SNORD113-5,Melanoma,0
SNORD14B,Wilms tumor,0
SNORA25,Epstein-barr virus infections,0
SNORA50C,Hepatic carcinoma,0
SNORD99,Mouth neoplasms,0
RNU1-1,Renal cell carcinoma,0
SNORD88C,Stomach cancer,0
SNORD33,Liver cirrhosis,0
SNORD16,Pancreatic cancer,0
SNORD2,Malignant glioma,0
SNORA66,Parkinson disease,0
SNORD66,Adenocarcinoma,0
SNORA28,Papillary thyroid cancer,0
SNORD79,Renal carcinoma,0
SNORD114-29,Uterine leiomyoma,0
SNORA37,Acute myeloid leukemia,0
SNORD14C,Esophageal squamous cell carcinoma,0
SNHG19,Renal cell cancer,0
SNORD123,Head and neck squamous cell carcinoma,0
SNORD60,Colorectal carcinoma,0
SNORD83B,Acute myeloid leukemia,0
SNORD19B,Esophagus adenocarcinoma,0
SNORA40,Acute promyelocytic leukemia,0
SNHG22,West nile virus infection,0
SNORD104,Cancer,0
SNORD11B,Parkinson disease,0
SNORD99,Hepatocellular carcinoma,0
SNORD73A,Colorectal adenocarcinoma,0
SNORA46,Malignant glioma,0
RNU1-2,Esophageal squamous cell carcinoma,0
SNORD14D,Liver cancer,0
